Title	Authors	Pdf	Presentation	Volume_Name	Notes
TRANSLATOR MTK: A Language Independent Machine Translation Development Environment	Deon Oosthuizen, G.	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Oosthuizen.pdf			Part II: System Presentations
Globalink Power Translator 6 – Barcelona Technology	Clements, David E. and John O’Hara	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Clements.pdf			Part II: System Presentations
Alis Technologies Inc.		https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Alis-1.pdf			Part II: System Presentations
Logos Machine Translation System	Lale Yurtseven	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Yurtseven.pdf			Part II: System Presentations
Presentation of Lant Technology	Herman Caeyers	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Caeyers.pdf			Part II: System Presentations
Integrating TRADOS Translator’s Workbench with Machine Translation	Mark Berry	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Berry.pdf			Part II: System Presentations
STYLUS – Outline of Functions and Features	Svetlana Sokolova	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Sokolova.pdf			Part II: System Presentations
PAHO MT Systems: SPANAMâ and ENGSPANâ	Marjorie León and Julia Aymerich	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Leon.pdf			Part II: System Presentations
The DIPLOMAT Rapid Development Speech MT System	Frederking, Robert E. and Brown, Ralf D. and Christopher Hogan	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Frederking.pdf			Part II: System Presentations
MULTI-lingual DOCumentation	Jörg Schütz	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Schutz.pdf			Part II: System Presentations
ESTeam BTR	G. Magnusdottir and L. Cranius and Y. Aglamissis and C. Roniotes and A. Samiotou	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Magnusdottir.pdf			Part II: System Presentations
InfoRaptor – SYSTRAN’s Multilingual Data Retrieval System	Gachot, Denis A.	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Gachot.pdf			Part II: System Presentations
