Title	Authors	Pdf	Presentation	Volume_Name	Notes
Statistical machine translation	Kevin Knight and Philipp Koehn	https://aclanthology.org/www.mt-archive.info/05/MTS-2007-Knight-1.pdf	https://davidstap.github.io/presentation_combined.pdf		Tutorials, 10 September
Example based machine translation for cross-lingual information retrieval	Cristina Vertan	https://aclanthology.org/www.mt-archive.info/MTS-2007-Vertan.pdf	https://aclanthology.org/www.mt-archive.info/MTS-2007-Vertan-ppt.pdf		Tutorials, 10 September
Context-based evaluation of MT systems: principles and tools	Maghi King and Andrei Popescu-Belis and Paula Estrella	https://aclanthology.org/www.mt-archive.info/MTS-2007-King-1.pdf	https://aclanthology.org/www.mt-archive.info/MTS-2007-Estrella-2.pdf		Tutorials, 10 September
Using free online MT in multilingual websites	Federico Gaspari and Harold Somers	https://aclanthology.org/www.mt-archive.info/MTS-2007-Gaspari-2.pdf			Tutorials, 10 September
LTC tutorial on workflow and business information management in the language industry	Adriane Rinsche	https://aclanthology.org/www.mt-archive.info/MTS-2007-Rinsche-1.pdf			Tutorials, 10 September
How to successfully integrate MT	Jen Doyon	https://aclanthology.org/www.mt-archive.info/MTS-2007-Doyon.pdf			Tutorials, 10 September
