Title	Authors	Pdf	Presentation	Volume_Name	Notes
Machine Translation: What have we to do?	Nagao, Makoto	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Nagao.pdf			Paper
Latest Developments in Machine Translation Technology: Beginning a New Era in MT Research	Hutchins, John	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Hutchins.pdf			Paper
The Present State of Machine Translation Usage Technology; Or: How Do I Use Thee? Let Me Count the Ways	Vasconcellos, Muriel	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Vasconcellos-1.pdf			Paper
From Electronic Dictionaries to Very Large-Scale Knowledge Bases	Yokoi, Toshio	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Yokoi.pdf			Paper
The Electronic Dictionary Project - Current Status and Future Plans	Chiba, Seibi	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Chiba.pdf			Paper
Multi-lingual Machine Translation (MMT) Project	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Funaki.pdf			Paper
Utilization of Machine Translation	Ahmad Zaki Abu Bakar	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Zaki.pdf			Paper
Automatic Speech Translation at ATR	Kurematsu, Akira	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Morimoto.pdf			Paper
E.C. Language Projects	Rolling, Loll	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Rolling-1.pdf			Paper
EDR Electronic Dictionary	Takebayashi, Yoichi	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Takebayashi.pdf			Paper
Verbmobil: Translation of Face-To-Face Dialogs	Wahlster, Wolfgang	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Wahlster.pdf			Paper
Corpora and Machine Translation	Wilks, Yorick	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Wilks.pdf			Paper
An Example-Based Multilingual MT System in a Conceptual Language	Yasuhara, Hiroshi	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Yasuhara.pdf			Paper
Interlingua for Multilingual Machine Translation	Hiroshi Uchida and Meiying Zhu	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Uchida.pdf			Paper
Practical Speech Translation Systems will Integrate Human Expertise, Multimodal Communication, and Interactive Disambiguation	The Future of Machine Translation Technology	Christian Boitet	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Boitet.pdf			Paper
Machine-Aided Human Translation and the Paradigm Shift	Isabelle, Pierre	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Isabelle.pdf			Paper
Some Lessons Learnt by a New Comer	Low, Hwee-Boon	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Low.pdf			Paper
A Direction of MT Development	Nirenburg, Sergei	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Nirenburg.pdf			Paper
The Future of MT Technology	Rohrer, Christian	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Rohrer.pdf			Paper
After Linguistics-based MT	Tsujii, Junichi	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Tsujii.pdf			Paper
Panel on Evaluation: MT Summit IV Introduction	King, Margaret	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-King.pdf			Paper
Strategy for Machine Translation Evaluation	Nomura, Hirosato	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Nomura.pdf			Paper
Panel Contribution on MT Evaluation	Rolling, Loll	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Rolling-2.pdf			Paper
Evaluation Method of Machine Translation	Vasconcellos, Muriel	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Vasconcellos-2.pdf			Paper
Evaluation Method of Machine Translation: from the Viewpoint of Natural Language Processing	Yokoyama, Shoichi	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Yokoyama.pdf			Paper
Panel on International Cooperation	Rolling, Loll	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Rolling-3.pdf			Paper
The R&D Activities of MT in China	Yang, Tianxing	https://aclanthology.org/www.mt-archive.info/90/MTS-1993-Yang.pdf			Paper
