Title	Authors	Pdf	Presentation	Volume_Name	Notes
Exploiting the WWW for MT teaching	Lorna Balkan	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Balkan.pdf			Workshop
Transferable skills in an MT course	Judith Belam	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Belam.pdf			Workshop
An interactive hypertextual environment for MT training	Etienne Blanc	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Blanc.pdf			Workshop
Teaching machine translation in non computer science subjects: report of an educational experience within the University of Orleans	Viviane Clavier and Céline Poudat	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Clavier.pdf			Workshop
Teaching machine translation to trainee translators: a survey of their knowledge and opinions	Federico Gaspari	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Gaspari.pdf			Workshop
Teaching machine translation & translation technology: a contrastive study	Dorothy Kenny and Andy Way	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Kenny.pdf			Workshop
Discovering machine translation strategies beyond word-for-word translation: a laboratory assignment	Pérez-Ortiz, Juan Antonio and Forcada, Mikel L.	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Perez.pdf			Workshop
Three perspectives on MT in the classroom	Harold Somers	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Somers-2.pdf			Workshop
Making MT commonplace in translation training curricula • too many misconceptions, so much potential!	Elia Yuste-Rodrigo	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Yuste-2.pdf			Workshop
