Title	Authors	Pdf	Presentation	Volume_Name	Notes
An Architecture Sketch of Eurotra-II	Jörg Schütz and Gregor Thurmair and Roberto Cencioni	https://aclanthology.org/www.mt-archive.info/90/MTS-1991-Schutz.pdf			Papers
Advances in Machine Translation Research in IBM	Mori Rimon and Pilar Martinez and Michael McCord and Ulrike Schwall	https://aclanthology.org/www.mt-archive.info/90/MTS-1991-Rimon.pdf			Papers
Ultra: A Multi-lingual Machine Translator	David Farwell and Yorick Wilks	https://aclanthology.org/www.mt-archive.info/90/MTS-1991-Farwell.pdf			Papers
Capturing Language-Specific Semantic Distinctions in Interlingua-based MT	James Barnett and Inderjeet Mani and Elaine Rich and Chinatsu Aone and Kevin Knight and Martinez, Juan C.	https://aclanthology.org/www.mt-archive.info/90/MTS-1991-Barnett.pdf			Papers
ArchTran: A Corpus-based Statistics-oriented English-Chinese Machine Translation System	Shu-Chuan Chen and Jing-Shin Chang and Jong-Nae Wang and and Keh-Yih Su	https://aclanthology.org/www.mt-archive.info/90/MTS-1991-Chen.pdf			Papers
The METAL System. Status 1991	Thomas Schneider	https://aclanthology.org/www.mt-archive.info/90/MTS-1991-Schneider.pdf			Papers
Applying an Experimental MT System to a Realistic Problem	Pierrette Bouillon and Katharina Boeseleldt	https://aclanthology.org/www.mt-archive.info/90/MTS-1991-Bouillon.pdf			Papers
Automation of Bilingual Lexicon Compilation	Arturo Trujillo and Plowman, David A.	https://aclanthology.org/www.mt-archive.info/90/MTS-1991-Trujillo.pdf			Papers
An Efficient Interlingua Translation System for Multi-lingual Document Production	Teruko Mitamura and Nyberg, Eric H. and Carbonell, Jaime G.	https://aclanthology.org/www.mt-archive.info/90/MTS-1991-Mitamura.pdf			Papers
MT Application For The Translation Agency	Keizou Sakurai Masahiko Ozeki and Yoshiyuki Nishihara	https://aclanthology.org/www.mt-archive.info/90/MTS-1991-Sakurai.pdf			Papers
Multi-lingual Sentence Generation from the PIVOT interlingua	Akitoshi Okumura and Kazunori Muraki and Susumu Akamine	https://aclanthology.org/www.mt-archive.info/90/MTS-1991-Okumura.pdf			Papers
EJ/JE Machine Translation System ASTRANSAC — Extensions toward Personalization	Hideki Hirakawa and Hiroyasu Nogami and Shin-ya Amano	https://aclanthology.org/www.mt-archive.info/90/MTS-1991-Hirakawa.pdf			Papers
The Translator's Workbench: An Environment for Multi-Lingual Text Processing and Translation	Marianne Kugler and Gerd Heyer and Ralf Kese and Beate von Kleist-Retzow and Günter Winkelmann	https://aclanthology.org/www.mt-archive.info/90/MTS-1991-Kugler.pdf			Papers
Translation Accuracy and Translation Efficiency	Wanying Jin	https://aclanthology.org/www.mt-archive.info/90/MTS-1991-Jin.pdf			Papers
Toward High Performance Machine Translation: Preliminary Results from Massively Parallel Memory-Based Translation on SNAP	Hiroaki Kitano and Dan Moldovan and Seungho Cha	https://aclanthology.org/www.mt-archive.info/90/MTS-1991-Kitano.pdf			Papers
Toward an MT System without Pre-Editing: Effects of a New Method in ALT-J/E	Satoru Ikehara and Satoshi Shirai and Akio Yokoo and Hiromi Nakaiwa	https://aclanthology.org/www.mt-archive.info/90/MTS-1991-Ikehara.pdf			Papers
The KIELIKONE Machine Translation Workstation	H. Jäppinen and L. Kulikov. A. Ylä-Rotiala	https://aclanthology.org/www.mt-archive.info/90/MTS-1991-Jappinen.pdf			Papers
Connectionist and Symbolic Processing in Speech-to-Speech Translation: The JANUS System	Jain, A. N. and McNair, A. E. and A. Waibel and H. Saito and Hauptmann, A.G. and J. Tebelskis	https://aclanthology.org/www.mt-archive.info/90/MTS-1991-Jain.pdf			Papers
