Title	Authors	Pdf	Presentation	Volume_Name	Notes
Introduction to the workshop	Michael Carl and Andy Way	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-EBMTIntro.htm			Workshop
Transfer-rule induction for example-based translation	Brown, Ralf D.	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Brown.pdf			Workshop
Inducing translation grammars from bracketed alignments	Michael Carl	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Carl.pdf			Workshop
Linguistic knowledge and complexity in an EBMT system based on translation patterns	Kevin McTait	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-McTait.pdf			Workshop
A best-first alignment algorithm for automatic extraction of transfer mappings from bilingual corpora	Arul Menezes and Richardson, Stephen D.	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Menezes.pdf			Workshop
Beyond translation memories	Reinhard Schäler	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Schaeler.pdf			Workshop
EBMT seen as case-based reasoning	Harold Somers	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Somers-1.pdf			Workshop
What is example-based machine translation?	Davide Turcato and Fred Popowich	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Turcato.pdf			Workshop
Translating with examples	Andy Way	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Way.pdf			Workshop
