Title	Authors	Pdf	Presentation	Volume_Name	Notes
Syntactic SMT and Semantic SMT	Dekai Wu	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-tutorials.pdf			Tutorials
From the Confidence Estimation of Machine Translation to the Integration of MT and Translation Memory	Yanjun Ma and Yifan He and van Genabith, Josef	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-tutorials.pdf			Tutorials
Evaluating the Output of Machine Translation Systems	Alon Lavie	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-tutorials.pdf			Tutorials
Productive Use of MT in Localization	Mirko Plitt	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-tutorials.pdf			Tutorials
