Title	Authors	Pdf	Presentation	Volume_Name	Notes
Translating the FINREP Taxonomy using a Domain-specific Corpus	Mihael Arcan and Thomas, Susan Marie and De Brandt, Derek and Paul Buitelaar	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Arcan.pdf			Research track - Poster presentations
Promoting Flexible Translations in Statistical Machine Translation	Rico Sennrich	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Sennrich.pdf			Research track - Poster presentations
Language-independent Model for Machine Translation Evaluation with Reinforced Factors	Han, Aaron Li-Feng and Wong, Derek F. and Chao, Lidia S. and Liangye He and Yi Lu and Junwen Xing and Xiaodong Zeng	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Han.pdf			Research track - Poster presentations
A CCG-based Quality Estimation Metric for Statistical Machine Translation Learning from Human Judgments of Machine Translation Output	Maja Popovic and Eleftherios Avramidis and Aljoscha Burchardt and Sabine Hunsicker and Sven Schmeier and Cindy Tscherwinka and David Vilar	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Almaghout.pdf			Research track - Poster presentations
Learning from Human Judgments of Machine Translation Output	Maja Popovic and Eleftherios Avramidis and Aljoscha Burchardt and Sabine Hunsicker and Sven Schmeier and Cindy Tscherwinka and David Vilar	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Popovic.pdf			Research track - Poster presentations
Towards the Supervised Machine Translation: Real Word Alignments and Translations in a Multi-task Active Learning process	Martha-Alicia Rocha and Joan-Andreu Sanchez	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Rocha.pdf			Research track - Poster presentations
Comparing Forum Data Post-Editing Performance Using Translation Memory and Machine Translation Output: A Pilot Study	Morado Vazquez, Lucia and Vazquez, Silvia Rodriguez and Pierrette Bouillon	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Morado.pdf			Research track - Poster presentations
Confidence-driven Rewriting for Improved Translation	Shachar Mirkin and Sriram Venkatapathy and Marc Dymetman	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Mirkin.pdf			Research track - Poster presentations
Statistical Machine Translation for Automobile Marketing Texts	Samuel Läubli and Mark Fishel and Manuela Weibel and Martin Volk	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Laubli.pdf			Research track - Poster presentations
MT Techniques in a Retrieval System of Semantically Enriched Patents	Meritxell Gonzalez and Maria Mateva and Ramona Enache and Cristina Espana-Bonet and Lluis Marquez and Borislav Popov and Aarne Ranta	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Gonzalez.pdf			Research track - Poster presentations
Application of Online Terminology Services in Statistical Machine Translation	Raivis Skadins and Marcis Pinnis and Tatiana Gornostay and Andrejs Vasiljevs	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Skadins.pdf			Research track - Poster presentations
Key Problems in Conversion from Simplified to Traditional Chinese Characters Topic Models for Translation Quality Estimation for Gisting Purposes	Raphael Rubino and Jose Guilherme Camargo de Souza and Jennifer Foster and Lucia Specia	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Shi.pdf			Research track - Poster presentations
Topic Models for Translation Quality Estimation for Gisting Purposes	Raphael Rubino and de Souza, Jose Guilherme Camargo and Jennifer Foster and Lucia Specia	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Rubino.pdf			Research track - Poster presentations
