Title	Authors	Pdf	Presentation	Volume_Name	Notes
Word Alignment Using GIZA++ on Windows	Liang Tian and Fai Wong and Sam Chao	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Tian.pdf			Systems
ENGtube: an Integrated Subtitle Environment for ESL	Chi-Ho Li and Shujie Liu and Chenguang Wang and Ming Zhou	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Li-1.pdf			Systems
Broadcast news speech-to-text translation experiments	Sylvain Raybaud and David Langlois and Kamel Smaïli	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Raybaud.pdf			Systems
AIR-based light clients for supporting Moses engine training	Jeffrey Rueppel and Li Jiang and Gong Yu and Ray Flournoy	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Rueppel.pdf			Systems
LetsMT!: Cloud-Based Platform for Building User Tailored Machine Translation Engines	Andrejs Vasiljevs and Raivis Skadinš and Jörg Tiedemann	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Vasiljevs.pdf			Systems
