Title	Authors	Pdf	Presentation	Volume_Name	Notes
Introduction to Machine Translation	Mike Dillinger		https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Dillinger-ppt.pdf		Tutorials
Machine Learning Approaches for Dealing with Bilingual Data in Statistical Machine Translation	Gholamreza Haffari				Tutorials
Tools for Translation: Current Practices, State of the Art and Capability Gaps	Jennifer DeCamp	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-DeCamp-3.pdf			Tutorials
The Business Case for Machine Translation	DePalma, Donald A.		https://aclanthology.org/www.mt-archive.info/05/MTS-2009-DePalma-ppt.pdf		Tutorials
Postediting Machine Translation Output Guidelines	Sharon O’Brien and Johann Roturier and de Almeida, Giselle		https://aclanthology.org/www.mt-archive.info/05/MTS-2009-OBrien.pdf	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-OBrien-ppt.pdf	Tutorials
Up close and personal with a Translator – How Translators Really Work	Alain Desilets and UQO and Geneviève Patenaude	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Desilets-3.pdf			Tutorials
