Title	Authors	Pdf	Presentation	Volume_Name	Notes
Chained System: A Linear Combination of Different Types of Statistical Machine Translation Systems	Takako Aikawa and Achim Ruopp	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Aikawa.pdf			MT Research Posters
Extraction of Syntactic Translation Models from Parallel Data using Syntax from Source and Target Languages	Vamshi Ambati and Alon Lavie and Jaime Carbonell	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Ambati.pdf			MT Research Posters
Using Automatic Roundtrip Translation to Repair General Errors in Second Language Writing	Alain Désilets and Matthieu Hermet	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Desilets-1.pdf			MT Research Posters
Reordering on Spanish-Basque SMT	Díaz de Ilaraza, Arantza and Gorka Labaka and Kepa Sarasola	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Diaz.pdf			MT Research Posters
Can MT Output Be Evaluated Through Eye Tracking?	Stephen Doherty and Sharon O'Brien	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Doherty.pdf			MT Research Posters
Selective addition of corpus-extracted phrasal lexical rules to a rule-based machine translation system	Loic Dugast and Jean Senellart and Philipp Koehn	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Dugast.pdf			MT Research Posters
Source-Side Context-Informed Hypothesis Alignment for Combining Outputs from Machine Translation Systems	Jinhua Du and Yanjun Ma and Andy Way	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Du.pdf			MT Research Posters
Improving the Objective Function in Minimum Error Rate Training	Yifan He and Andy Way	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-He.pdf			MT Research Posters
Harnessing the Redundant Results of Translation Spotting	Stéphane Huet and Julien Bourdaillet and Philippe Langlais and Guy Lapalme	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Huet.pdf			MT Research Posters
Development of a Japanese-English Software Manual Parallel Corpus	Tatsuya Ishisaka and Masao Utiyama and Eiichiro Sumita and Kazuhide Yamamoto	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Ishisaka.pdf			MT Research Posters
Word Alignment by Thresholded Two-Dimensional Normalization	Hamidreza Kobdani and Alexander Fraser and Hinrich Schütze	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Kobdani.pdf			MT Research Posters
Tracking Relevant Alignment Characteristics for Machine Translation	Patrik Lambert and Yanjun Ma and Sylwia Ozdowska and Andy Way	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Lambert.pdf			MT Research Posters
Improving Fluency by Reordering Target Constituents using MST Parser in English-to-Japanese Phrase-based SMT	Hwidong Na and Jin-Ji Li and Jungi Kim and Jong-Hyeok Lee	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Na.pdf			MT Research Posters
Anchor Points for Bilingual Lexicon Extraction from Small Comparable Corpora	Emmanuel Prochasson and Emmanuel Morin and Kyo Kageura	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Prochasson.pdf			MT Research Posters
United Nations General Assembly Resolutions: A Six-Language Parallel Corpus	Alexandre Rafalovitch and Robert Dale	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Rafalovitch.pdf			MT Research Posters
Using Artificial Data to Compare the Difficulty of Using Statistical Machine Translation in Different Language-Pairs	Manny Rayner and Paula Estrella and Pierrette Bouillon and Yukie Nakao	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Rayner.pdf			MT Research Posters
Translation Model Adaptation for an Arabic/French News Translation System by Lightly- Supervised Training	Holger Schwenk and Jean Senellart	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Schwenk.pdf			MT Research Posters
Using Percolated Dependencies for Phrase Extraction in SMT	Ankit Srivastava and Andy Way	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Srivastava.pdf			MT Research Posters
Relating recognition, translation and usability of two different versions of MedSLT	Marianne Starlander and Paula Estrella	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Starlander.pdf			MT Research Posters
Correlation between Automatic Evaluation Metric Scores, Post-Editing Speed, and Some Other Factors	Midori Tatsumi	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Tatsumi.pdf			MT Research Posters
Comparing different architectures of hybrid Machine Translation systems	Gregor Thurmair	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Thurmair.pdf			MT Research Posters
Hosting Volunteer Translators	Masao Utiyama and Takeshi Abekawa and Eiichiro Sumita and Kyo Kageura	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Utiyama-2.pdf			MT Research Posters
Transfer rule generation for a Japanese-Hungarian machine translation system	István Varga and Shoichi Yokoyama	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Varga.pdf			MT Research Posters
Efficient Beam Thresholding for Statistical Machine Translation	Deyi Xiong and Min Zhang and Aiti Aw and Haizhou Li	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Xiong-1.pdf			MT Research Posters
A Source Dependency Model for Statistical Machine Translation	Deyi Xiong and Min Zhang and Aiti Aw and Haizhou Li	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Xiong-2.pdf			MT Research Posters
Bilingual Dictionary Extraction from Wikipedia	Kun Yu and Junichi Tsujii	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Yu.pdf			MT Research Posters
Virtual Babel: Towards Context-Aware Machine Translation in Virtual Worlds	Ying Zhang and Nguyen Bach	https://aclanthology.org/www.mt-archive.info/05/MTS-2009-Zhang.pdf			MT Research Posters
