Title	Authors	Pdf	Presentation	Volume_Name	Notes
Domain Adaptation in Statistical Machine Translation of User-Forum Data using Component Level Mixture Modelling	Pratyush Banerjee and Naskar, Sudip Kumar and Johann Roturier and Andy Way and van Genabith, Josef	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Banerjee.pdf			Papers
Bagging-based System Combination for Domain Adaption	Linfeng Song and Haitao Mi and Yajuan Lü and Qun Liu	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Song.pdf			Papers
Extracting Pre-ordering Rules from Chunk-based Dependency Trees for Japanese-to-English Translation	Xianchao Wu and Katsuhito Sudoh and Kevin Duh and Hajime Tsukada and Masaaki Nagata	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Xu.pdf			Papers
Statistical Post-Editing for a Statistical MT System	Hanna Bechara and Yanjun Ma and van Genabith, Josef	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Bechara.pdf			Papers
Post-ordering in Statistical Machine Translation	Katsuhito Sudoh and Xianchao Wu and Kevin Duh and Hajime Tsukada and Masaaki Nagata	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Sudoh.pdf			Papers
Searching Translation Memories for Paraphrases	Masao Utiyama and Graham Neubig and Takashi Onishi and Eiichiro Sumita	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Utiyama.pdf			Papers
Are numbers good enough for you? - A linguistically meaningful MT evaluation method	Takako Aikawa and Spencer Rarrick	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Aikawa.pdf			Papers
Marker-based Chunking for Analogy-based Translation of Chunks	Kota Takeya and Yves Lepage	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Takeya.pdf			Papers
A Comparison of Unsupervised Bilingual Term Extraction Methods Using Phrase-Tables	Masamichi Ideue and Kazuhide Yamamoto and Masao Utiyama and Eiichiro Sumita	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Ideue.pdf			Papers
Improving Low-Resource Statistical Machine Translation with a Novel Semantic Word Clustering Algorithm	Jeff Ma and Spyros Matsoukas and Richard Schwartz	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Ma-2.pdf			Papers
Multi-granularity Word Alignment and Decoding for Agglutinative Language Translation	Zhiyang Wang and Yajuan Lü and Qun Liu	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Wang.pdf			Papers
Improving the Hierarchical Phrase-Based Translation Model	Xiaodong Shi and Xiang Zhu and Yidong Chen	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Shi.pdf			Papers
Lexical-based Reordering Model for Hierarchical Phrase-based Machine Translation	Zhongguang Zheng and Yao Meng and Hao Yu	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Zheng-2.pdf			Papers
Effective Use of Discontinuous Phrases for Hierarchical Phrase-based Translation	Wei Wei and Bo Xu	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Wei.pdf			Papers
Generating Virtual Parallel Corpus: A Compatibility Centric Method	Jia Xu and Weiwei Sun	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Xu.pdf			Papers
Parallel Corpus Refinement as an Outlier Detection Algorithm	Kaveh Taghipour and Shahram Khadivi and Jia Xu	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Taghipour.pdf			Papers
MT Detection in Web-Scraped Parallel Corpora	Spencer Rarrick and Chris Quirk and Will Lewis	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Rarrick.pdf			Papers
On the Expressivity of Linear Transductions	Markus Saers and Dekai Wu and Chris Quirk	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Saers.pdf			Papers
Handheld Machine Translation System Based on Constraint Synchronous Grammar	Fai Wong and Francisco Oliveira and Sam Chao and Chi-Wai Tang	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Wong-1.pdf			Papers
A Comparison Study of Parsers for Patent Machine Translation	Isao Goto and Masao Utiyama and Takashi Onishi and Eiichiro Sumita	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Goto.pdf			Papers
Rich Linguistic Features for Translation Memory-Inspired Consistent Translation	Yifan He and Yanjun Ma and Andy Way and van Genabith, Josef	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-He.pdf			Papers
Japanese-Chinese Phrase Alignment Using Common Chinese Characters Information	Chenhui Chu and Toshiaki Nakazawa and Sadao Kurohashi	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Chu.pdf			Papers
The Cultivation of a Chinese-English-Japanese Trilingual Parallel Corpus from Comparable Patents	Bin Lu and Chow, Ka Po and Tsou, Benjamin K.	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Lu.pdf			Papers
Evaluation Methodology and Results for English-to-Arabic MT	Olivier Hamon and Khalid Choukri	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Hamon.pdf			Papers
Example-Based Machine Translation for Low-Resource Language Using Chunk-String Templates	Khan, Md. Anwarus Salam and Setsuo Yamada and Tetsuro Nishino	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Anwarus-Salam.pdf			Papers
Improve SMT with Source-Side “Topic-Document” Distributions	Zhengxian Gong and Guodong Zhou and Liangyou Li	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Gong.pdf			Papers
Predicting Machine Translation Adequacy	Lucia Specia and Najeh Hajlaoui and Catalina Hallett and Wilker Aziz	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Specia.pdf			Papers
Getting Expert Quality from the Crowd for Machine Translation Evaluation	Luisa Bentivogli and Marcello Federico and Giovanni Moretti and Michael Paul	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Bentivogli.pdf			Papers
A Framework for Diagnostic Evaluation of MT Based on Linguistic Checkpoints	Naskar, Sudip Kumar and Antonio Toral and Federico Gaspari and Andy Way	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Naskar.pdf			Papers
Comparative Evaluation of Term Informativeness Measures in Machine Translation Evaluation Metrics	Billy Wong and Chunyu Kit	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Wong-2.pdf			Papers
System Combination for Machine Translation Based on Text-to-Text Generation	Wei-Yun Ma and Kathleen Mckeown	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Ma-3.pdf			Papers
Hybrid Machine Translation Guided by a Rule–Based System	Cristina España-Bonet and Gorka Labaka and Díaz de Ilarraza, Arantza and Lluís Màrquez	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Espana-Bonet-1.pdf			Papers
Integrating shallow-transfer rules into phrase-based statistical machine translation	Sánchez-Cartagena, Víctor M. and Felipe Sánchez-Martínez and Pérez-Ortiz, Juan Antonio	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Sanchez-Cartagena.pdf			Papers
Hypergraph Training and Decoding of System Combination in SMT	Yupeng Liu and Tiejun Zhao and Sheng Li	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Liu-4.pdf			Papers
Study on the Impact Factors of the Translators' Post-editing Efficiency in a Collaborative Translation Environment	Na Ye and Guiping Zhang	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Ye.pdf			Papers
UTX 1.11, a Simple and Open User Dictionary/Terminology Standard, and its Effectiveness with Multiple MT Systems	Seiji Okura and Yuji Yamamoto and Hajime Ito and Michael Kato and Miwako Shimazu	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Okura.pdf			Papers
Real-time Multi-media Translation for Healthcare: a Usability Study	Mark Seligman and Mike Dillinger	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Seligman.pdf			Papers
