Title	Authors	Pdf	Presentation	Volume_Name	Notes
The MT User Experience	Muriel Vasconcellos and Bernard Scott and John Chandioux and Hideki Tasnaka	https://aclanthology.org/www.mt-archive.info/MTS-1991-panel-1.pdf			Panels
Building the Customer Base	Teicher, Howard R. and Michel Gainet and Edith Losa and Martinez-Perez, Maria Pilar and O-Keeffe, Muriel Jerome and Toledo, Sue Walker and Michael Zarechnak	https://aclanthology.org/www.mt-archive.info/MTS-1991-panel-2.pdf			Panels
International Views on MT	Joseph Clark and Jan-Michael Czermak and Deanna Hammond and Nicholas Ostler and Donald Walker and Charles Wayne and Kousoke Yamamoto	https://aclanthology.org/www.mt-archive.info/MTS-1991-panel-3.pdf			Panels
Where Do Translators Fit Into MT?	Alex Gross and Claude Bedard and Harald Hille and Martin Kay and Frederick Klein and Sergei Nirenburg	https://aclanthology.org/www.mt-archive.info/MTS-1991-panel-4.pdf			Panels
Evaluation of MT Systems	Margaret King and Yorick Wilks and Sture Allen and Ulrich Heid and Doris Albisser	https://aclanthology.org/www.mt-archive.info/MTS-1991-panel-5.pdf			Panels
