Title	Authors	Pdf	Presentation	Volume_Name	Notes
Frontmatter		https://aclanthology.org/www.mt-archive.info/MTS-2007-preface.pdf			[ISBN: 978-87-90708-16-0]
Impact of controlled language on translation quality and post-editing in a statistical machine translation environment	Takako Aikawa and Lee Schwartz and Ronit King and Mo Corston-Oliver and Carmen Lozano	https://aclanthology.org/www.mt-archive.info/MTS-2007-Aikawa.pdf			Main conference papers
Improving speech-to-speech translation using word posterior probabilities	Vicente Alabau and Alberto Sanchis and Francisco Casacuberta	https://aclanthology.org/www.mt-archive.info/MTS-2007-Alabau.pdf			Main conference papers
Online learning methods for discriminative training of phrase based statistical machine translation	Abhishek Arun and Philipp Koehn	https://aclanthology.org/www.mt-archive.info/MTS-2007-Arun.pdf			Main conference papers
Automatic extraction of entries for a machine translation dictionary using bitexts	Julia Aymerich and Hermes Camelo	https://aclanthology.org/www.mt-archive.info/MTS-2007-Aymerich.pdf			Main conference papers
Translating from under-resourced languages: comparing direct transfer against pivot translation	Bogdan Babych and Anthony Hartley and Serge Sharoff	https://aclanthology.org/www.mt-archive.info/MTS-2007-Babych-1.pdf			Main conference papers
Dan2eng: wide-coverage Danish-English machine translation	Eckard Bick	https://aclanthology.org/www.mt-archive.info/MTS-2007-Bick.pdf			Main conference papers
Global Public Health Intelligence Network (GPHIN)	Michael Blench	https://aclanthology.org/www.mt-archive.info/MTS-2007-Blench.pdf			Main conference papers
Unsupervised syntax-based machine translation: the contribution of discontiguous phrases	Rens Bod	https://aclanthology.org/www.mt-archive.info/MTS-2007-Bod.pdf			Main conference papers
A system to mine large-scale bilingual dictionaries from monolingual web pages	Guihong Cao and Jianfeng Gao and Jian-Yun Nie	https://aclanthology.org/www.mt-archive.info/MTS-2007-Cao.pdf			Main conference papers
METIS-II: the German to English MT system	Michael Carl	https://aclanthology.org/www.mt-archive.info/MTS-2007-Carl.pdf			Main conference papers
Context-dependent phrasal translation lexicons for statistical machine translation	Marine Carpuat and Dekai Wu	https://aclanthology.org/www.mt-archive.info/MTS-2007-Carpuat.pdf			Main conference papers
Enhancing image-based Arabic document translation using noisy channel correction model	Yi Chang and Ying Zhang and Stephan Vogel and Jie Yang	https://aclanthology.org/www.mt-archive.info/MTS-2007-Chang-1.pdf			Main conference papers
A Chinese-to-Chinese statistical machine translation model for mining synonymous simplified-traditional Chinese terms	Jing-Shin Chang and Chun-Kai Kung	https://aclanthology.org/www.mt-archive.info/MTS-2007-Chang-2.pdf			Main conference papers
Incorporating constituent structure constraint into discriminative word alignment	Wen-Han Chao and Zhou-Jun Li	https://aclanthology.org/www.mt-archive.info/MTS-2007-Chao.pdf			Main conference papers
Better n-best translations through generative n-gram language models	Boxing Chen and Marcello Federico and Mauro Cettolo	https://aclanthology.org/www.mt-archive.info/MTS-2007-Chen.pdf			Main conference papers
Syntax-enhanced n-gram-based SMT	Crego, Josep M. and Mariño, José B.	https://aclanthology.org/www.mt-archive.info/MTS-2007-Crego.pdf			Main conference papers
All links are not the same: evaluating word alignments for statistical machine translation	Davis, Paul C. and Zhuli Xie and Kevin Small	https://aclanthology.org/www.mt-archive.info/MTS-2007-Davis.pdf			Main conference papers
A state-of-the-art statistical machine translation system based on Moses	Daniel Déchelotte and Holger Schwenk and Hélène Bonneau-Maynard and Alexandre Allauzen and Gilles Adda	https://aclanthology.org/www.mt-archive.info/MTS-2007-Dechelotte.pdf			Main conference papers
Analogical translation of unknown words in a statistical machine translation framework	Etienne Denoual	https://aclanthology.org/www.mt-archive.info/MTS-2007-Denoual.pdf			Main conference papers
Arabic diacritization in the context of statistical machine translation	Mona Diab and Mahmoud Ghoneim and Nizar Habash	https://aclanthology.org/www.mt-archive.info/MTS-2007-Diab.pdf			Main conference papers
Automatic evaluation of machine translation based on recursive acquisition of an intuitive common parts continuum	Hiroshi Echizen-ya and Kenji Araki	https://aclanthology.org/www.mt-archive.info/MTS-2007-Echizen-ya.pdf			Main conference papers
Estimating phrase pair relevance for translation model pruning	Matthias Eck and Stephan Vogel and Alex Waibel	https://aclanthology.org/www.mt-archive.info/MTS-2007-Eck.pdf			Main conference papers
How much data is needed for reliable MT evaluation? Using bootstrapping to study human and automatic metrics	Paula Estrella and Olivier Hamon and Andrei Popescu-Belis	https://aclanthology.org/www.mt-archive.info/MTS-2007-Estrella-1.pdf			Main conference papers
Lexical translation with application to image searching on the web	Oren Etzioni and Kobi Reiter and Stephen Soderland and Marcus Sammer	https://aclanthology.org/www.mt-archive.info/MTS-2007-Etzioni.pdf			Main conference papers
Improving transfer-based MT systems with automatic refinements	Font Llitjós, Ariadna and Jaime Carbonell and Alon Lavie	https://aclanthology.org/www.mt-archive.info/MTS-2007-Font-Llitjos.pdf			Main conference papers
Learning bilingual lexicons from comparable English and Spanish corpora	Gamallo Otero, Pablo	https://aclanthology.org/www.mt-archive.info/MTS-2007-Gamallo-Otero.pdf			Main conference papers
Online and free! Ten years of online machine translation: origins, developments, current use and future prospects	Federico Gaspari and John Hutchins	https://aclanthology.org/www.mt-archive.info/MTS-2007-Gaspari-1.pdf			Main conference papers
POS-based reordering models for statistical machine translation	Deepa Gupta and Mauro Cettolo and Marcello Federico	https://aclanthology.org/www.mt-archive.info/MTS-2007-Gupta.pdf			Main conference papers
Syntactic preprocessing for statistical machine translation	Nizar Habash	https://aclanthology.org/www.mt-archive.info/MTS-2007-Habash-1.pdf			Main conference papers
End-to-end evaluation of a speech-to-speech translation system in TC-STAR	Olivier Hamon and Djamel Mostefa and Khalid Choukri	https://aclanthology.org/www.mt-archive.info/MTS-2007-Hamon-1.pdf			Main conference papers
Assessing human and automated quality judgments in the French MT evaluation campaign CESTA	Olivier Hamon and Anthony Hartley and Andrei Popescu-Belis and Khalid Choukri	https://aclanthology.org/www.mt-archive.info/MTS-2007-Hamon-2.pdf			Main conference papers
Report on the NSF-sponsored Human Language Technology Workshop on Industrial Centers	Mary Harper and Alex Acero and Srinivas Bangalore and Jaime Carbonell and Jordan Cohen and Barbara Cuthill and Carol Espy-Wilson and Christiane Fellbaum and John Garofolo and Chin-Hui Lee and Jim Lester and Andrew McCallum and Nelson Morgan and Michael Picheney and Joe Picone and Lance Ramshaw and Jeff Reynar and Hadar Shemtov and Clare Voss	https://aclanthology.org/www.mt-archive.info/MTS-2007-Harper.pdf			Main conference papers
Experiments with a noun-phrase driven statistical machine translation system	Sanjika Hewavitharana and Alon Lavie and Stephan Vogel	https://aclanthology.org/www.mt-archive.info/MTS-2007-Hewavitharana.pdf			Main conference papers
Domain adaptation of MT systems through automatic post-editing	Pierre Isabelle and Cyril Goutte and Michel Simard	https://aclanthology.org/www.mt-archive.info/MTS-2007-Isabelle.pdf			Main conference papers
Development of a Japanese-Chinese machine translation system	Hitoshi Isahara and Sadao Kurohashi and Jun’ichi Tsujii and Kiyotaka Uchimoto and Hiroshi Nakagawa and Hiroyuki Kaji and Shun’ichi Kikuchi	https://aclanthology.org/www.mt-archive.info/MTS-2007-Isahara.pdf			Main conference papers
Automatic validation of terminology translation consistenscy with statistical method	Masaki Itagaki and Takako Aikawa and Xiaodong He	https://aclanthology.org/www.mt-archive.info/MTS-2007-Itagaki.pdf			Main conference papers
Comparing parallel corpora and evaluating their quality	Heiki-Jaan Kaalep and Kaarel Veskis	https://aclanthology.org/www.mt-archive.info/MTS-2007-Kaalep.pdf			Main conference papers
Iterative refinement of lexicon and phrasal alignment	Kim, Jae Dong and Stephan Vogel	https://aclanthology.org/www.mt-archive.info/MTS-2007-Kim.pdf			Main conference papers
Semi-automatic error analysis for large-scale statistical machine translation	Katrin Kirchhoff and Owen Rambow and Nizar Habash and Mona Diab	https://aclanthology.org/www.mt-archive.info/MTS-2007-Kirchhoff.pdf			Main conference papers
Comparing rule-based and data-driven approaches to Spanish-to-Basque machine translation	Gorka Labaka and Nicolas Stroppa and Andy Way and Kepa Sarasola	https://aclanthology.org/www.mt-archive.info/MTS-2007-Labaka.pdf			Main conference papers
Log-linear generation models for example-based machine translation	Zhanyi Liu and Hifeng Wang and Hua Wu	https://aclanthology.org/www.mt-archive.info/MTS-2007-Liu.pdf			Main conference papers
Dutch parallel corpus: MT corpus and translator’s aid	Lieve Macken and Julia Trushkina and Lidia Rura	https://aclanthology.org/www.mt-archive.info/MTS-2007-Macken.pdf			Main conference papers
Faster beam-search decoding for phrasal statistical machine translation	Moore, Robert C. and Chris Quirk	https://aclanthology.org/www.mt-archive.info/MTS-2007-Moore.pdf			Main conference papers
Combining data-driven MT systems for improved sign language translation	Sara Morrissey and Andy Way and Daniel Stein and Jan Bungeroth and Hermann Ney	https://aclanthology.org/www.mt-archive.info/MTS-2007-Morrissey.pdf			Main conference papers
Structural phrase alignment based on consistency criteria	Toshiaki Nakazawa and Yu Kun and Sadao Kurohashi	https://aclanthology.org/www.mt-archive.info/MTS-2007-Nakazawa.pdf			Main conference papers
How portable are controlled language rules? A comparison of two empirical MT studies	Sharon O’Brien and Johann Roturier	https://aclanthology.org/www.mt-archive.info/MTS-2007-OBrien.pdf			Main conference papers
Machine transliteration using multiple transliteration engines and hypothesis re-ranking	Jong-Hoon Oh and Hitoshi Isahara	https://aclanthology.org/www.mt-archive.info/MTS-2007-Oh.pdf			Main conference papers
Introducing translation dictionary into phrase-based SMT	Hideo Okuma and Hirofumi Yamamoto and Eiichiro Sumita	https://aclanthology.org/www.mt-archive.info/MTS-2007-Okuma.pdf			Main conference papers
Improving example-based machine translation through morphological generalization and adaptation	Phillips, Aaron B. and Violetta Cavalli-Sforza and Brown, Ralf D.	https://aclanthology.org/www.mt-archive.info/MTS-2007-Phillips.pdf			Main conference papers
Generative models of noisy translations with applications to parallel fragment extraction	Chris Quirk and Udupa U., Raghavendra and Arul Menezes	https://aclanthology.org/www.mt-archive.info/MTS-2007-Quirk.pdf			Main conference papers
Improving spoken language translation by automatic disfluency removal: evidence from conversational speech transcripts	Sharath Rao and Ian Lane and Tanja Schultz	https://aclanthology.org/www.mt-archive.info/MTS-2007-Rao.pdf			Main conference papers
Improving statistical word alignment with various clues	Dengjun Ren and Hua Wu and Haifeng Wang	https://aclanthology.org/www.mt-archive.info/MTS-2007-Ren.pdf			Main conference papers
Building a sense-distinguished multilingual lexicon from monolingual corpora and bilingual lexicons	Marcus Sammer and Stephen Soderland	https://aclanthology.org/www.mt-archive.info/MTS-2007-Sammer.pdf			Main conference papers
Estimation of confidence measures for machine translation	Alberto Sanchis and Alfons Juan and Enrique Vidal	https://aclanthology.org/www.mt-archive.info/MTS-2007-Sanchis.pdf			Main conference papers
Getting professional translation through user interaction	Young-Ae Seo and Chang-Hyun Kim and Seong-Il Yang and Young-gil Kim	https://aclanthology.org/www.mt-archive.info/MTS-2007-Seo.pdf			Main conference papers
Hindi generation from interlingua	Smriti Singh and Mrugank Dalal and Vishal Vachhani and Pushpak Bhattacharyya and Damani, Om P.	https://aclanthology.org/www.mt-archive.info/MTS-2007-Singh.pdf			Main conference papers
Using rich morphology in resolving certain Hindi-English machine translation divergence	Sinha, R. Mahesh K.	https://aclanthology.org/www.mt-archive.info/MTS-2007-Sinha.pdf			Main conference papers
The quest for machine translation quality at CLS Communication	Hans-Udo Stadler and Ursula Peter-Spörndli	https://aclanthology.org/www.mt-archive.info/MTS-2007-Stadler.pdf			Main conference papers
Rapid development of new language pairs at SYSTRAN	Sylvain Surcin and Elke Lange and Jean Senellart	https://aclanthology.org/www.mt-archive.info/MTS-2007-Surcin.pdf			Main conference papers
