Title	Authors	Pdf	Presentation	Volume_Name	Notes
A gentle introduction to MT: theory and current practice    	Eduard Hovy				Tutorials
How to make MT work for you 	Marjorie León				Tutorials
MT evaluation: old, new, and recycled   	John White				Tutorials
Post-editing MT 	Karin Spalink				Tutorials
