Title	Authors	Pdf	Presentation	Volume_Name	Notes
Frontmatter		https://aclanthology.org/www.mt-archive.info/MTS-2007-WS-4-programme.pdf			Automatic procedures in MT evaluation
The place of automatic evaluation metrics in external quality models for machine translation	Andrei Popescu-Belis		https://aclanthology.org/www.mt-archive.info/MTS-2007-Popescu-Belis-2.pdf		Automatic procedures in MT evaluation
Evaluating evaluation – lessons from the WMT 2007 shared task	Philipp Koehn and Chris Callison-Burch		https://aclanthology.org/www.mt-archive.info/MTS-2007-Koehn-2.pdf		Automatic procedures in MT evaluation
Investigating why BLEU penalizes non-statistical systems	Eduard Hovy		https://aclanthology.org/www.mt-archive.info/MTS-2007-Hovy.pdf		Automatic procedures in MT evaluation
Linguistic resources in support of various evaluation metrics	Christopher Cieri and Stephanie Strassel and Meghan Lammie Glenn and Lauren Friedman		https://aclanthology.org/www.mt-archive.info/MTS-2007-Cieri.pdf		Automatic procedures in MT evaluation
Experiences and conclusions from the CESTA evaluation project	Olivier Hamon		https://aclanthology.org/www.mt-archive.info/MTS-2007-Hamon-3.pdf		Automatic procedures in MT evaluation
Automatic evaluation in MT system production	Gregor Thurmair		https://aclanthology.org/www.mt-archive.info/MTS-2007-Thurmair-2.pdf		Automatic procedures in MT evaluation
Sensitivity of automated models for MT evaluation: proximity-based vs. performance-based methods	Bogdan Babych and Anthony Hartley		https://aclanthology.org/www.mt-archive.info/MTS-2007-Babych-2.pdf		Automatic procedures in MT evaluation
MT evaluation & TC-STAR	Khalid Choukri and Olivier Hamon and Djamel Mostefa		https://aclanthology.org/www.mt-archive.info/MTS-2007-Choukri.pdf		Automatic procedures in MT evaluation
