Title	Authors	Pdf	Presentation	Notes
Frontmatter		https://davidstap.github.io/monomt-frontmatter.pdf
Improving English to Spanish Out-of-Domain Translations by Morphology Generalization and Generation	Lluís Formiga and Adolfo Hernández and Mariño, José B. and Enric Monte	https://davidstap.github.io/monomt-1.pdf		Workshop
Monolingual Data Optimisation for Bootstrapping SMT Engines	Jie Jiang and Andy Way and Nelson Ng and Rejwanul Haque and Mike Dillinger and Jun Lu	https://davidstap.github.io/monomt-2.pdf		Workshop
Shallow and Deep Paraphrasing for Improved Machine Translation Parameter Optimization	Mehay, Dennis N. and Michael White	https://davidstap.github.io/monomt-3.pdf		Workshop
Two stage Machine Translation System using Pattern-based MT and Phrase-based SMT	Jin’ichi Murakami and Takuya Nishimura and Masoto Tokuhisa	https://davidstap.github.io/monomt-4.pdf		Workshop
Improving Word Alignment by Exploiting Adapted Word Similarity	Larasati, Septina Dian	https://davidstap.github.io/monomt-5.pdf		Workshop
Addressing some Issues of Data Sparsity towards Improving English- Manipuri SMT using Morphological Information	Singh, Thoudam Doren	https://davidstap.github.io/monomt-6.pdf		Workshop
Statistical Machine Translation for Depassivizing German Part-of-speech Sequences	Benjamin Gottesman	https://davidstap.github.io/monomt-7.pdf		Workshop
