Title	Authors	Pdf	Presentation	Notes
Domain Adaptation in Machine Translation: Findings from the 2012 Johns Hopkins Summer Workshop	Hal Daumé III and Marine Carpuat and  Alex Fraser and  Chris Quirk	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Daume-abs.pdf		Keynote
Trends in Adoption of MT as a Globalization Technology	Don DePalma	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-DePalma-abs.pdf		Keynote
Language Research at DARPA-Machine Translation and Beyond	Bonnie J. Dorr	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Dorr.pdf		Keynote
Duolingo: Learn a Language for Free while Helping to Translate the Web	Luis von Ahn	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-VonAhn.pdf		Keynote
On Marketing and Poetry	Caitilin Walsh	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Walsh-abs.pdf		Keynote
Hierarchical Phrase-Based MT for Phonetic Representation-Based Speech Translation	Zeeshan Ahmed and Jie Jiang and Julie Carson-Berndsen and Peter Cahill and Andy Way	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Ahmed.pdf		Keynote
