Title	Authors	Pdf	Presentation	Pages	Volume_Name	Notes
The Potential and Limitations of MT Paradigm	Daniel Marcu and Alan Melby ( August ); expanded version with annotations added after the debate	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Marcu-Melby.pdf			Invited talks	Invited talks
Invited talk	Joseph Olive	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Olive.pdf			Invited talks	Invited talks
