Title	Authors	Pdf	Presentation	Notes
Ontological semantics	Sergei Nirenburg			Tutorial descriptions
A gentle introduction to MT: theory and current practice	Eduard Hovy			Tutorial descriptions
Controlled languages	Teruko Mitamura and Eric Nyberg			Tutorial descriptions
Statistical machine translation	Kevin Knight			Tutorial descriptions
The diversity and distribution of languages	Laurie Gerber			Tutorial descriptions
MTranslatability	Arendse Bernth and Claudia Gdaniec			Tutorial descriptions
