Title	Authors	Pdf	Presentation	Volume_Name
The Triple-Advantage Factor of MT: Cost, Time-to-Market, and FAUT	Will Burgett and Julie Chang	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Burgett.pdf		Keynote Presentations
Bringing humans into the loop: Localization with MT at Traslán	Declan Groves	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Groves.pdf		Keynote Presentations
Machine Translation 2008: Science meets Solution	Mark Tapling	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Tapling.pdf		Keynote Presentations
