Title	Authors	Pdf	Presentation	Volume_Name
Can MT really help the Department of Defense?	Nicholas Bemish	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Bemish.pdf		Additional papers not in proceedings
Language Technology Resource Center	Jennifer DeCamp	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-DeCamp-2.pdf		Additional papers not in proceedings
