Title	Authors	Pdf	Presentation	Pages	Volume_Name	Notes
Evaluating MT prior to deployment	Donald A. DePalma	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-DePalma.pdf			User Track – presentations	User Track – presentations
Expecting the Unexpected: Using MT Operationally	Florence Reeder				User Track – presentations	User Track – presentations
The Added Value of Free Online MT Services	Federico Gaspari	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Gaspari.pdf			User Track – presentations	User Track – presentations
Document and Media Exploitation Evaluation	Nick Bemish				User Track – presentations	User Track – presentations
GPHIN use of MT in disease outbreak detection	Michael Blench	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Blench.pdf			User Track – presentations	User Track – presentations
Services Canada – Use of MT to translate online job listings	Michael Blench	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-JobBank.pdf			User Track – presentations	User Track – presentations
Real-Time Closed Caption Translation 	Mary Flanagan				User Track – presentations	User Track – presentations
Machine translation and translation memory: a message of reconciliation	Jost Zetzsche	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Zetzsche.pdf			User Track – presentations	User Track – presentations
Lionbridge – Two case studies using MT in location	Rafa Moral				User Track – presentations	User Track – presentations
