Title	Authors	Pdf	Presentation	Notes
Introduction to Machine Translation	Mike Dillinger	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Dillinger-ppt.pdf		Tutorials
Increasing Localization Efficiency with SYSTRAN Hybrid MT Products	John Paul Barraza	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Barrazza-ppt.pdf		Tutorials
MT and Arabic Language Issues	Nizar Habash	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Habash-ppt.pdf		Tutorials
Using MT in Today’s CAT Tools	Jost Zetzsche	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Zetzsche-abs.pdf		Tutorials
Open Source Statistical Machine Translation	Philipp Koehn	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Koehn-ppt.pdf		Tutorials
Practical Domain Adaptation in SMT	Marcello Federico and Co-Director and Human Language Technology Research Unit	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Bertoldi-ppt.pdf		Tutorials
