Title	Authors	Pdf	Presentation	Volume_Name
Improving Syntax-Driven Translation Models by Re-structuring Divergent and Nonisomorphic Parse Tree Structures	Vamshi Ambati and Alon Lavie	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Ambati.pdf		Student Research Workshop
Using Bilingual Chinese-English Word Alignments to Resolve PP-attachment Ambiguity in English	Victoria Fossum and Kevin Knight	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Fossum.pdf		Student Research Workshop
Combination of Machine Translation Systems via Hypothesis Selection from Combined N-Best Lists	Almut Silja Hildebrand and Stephan Vogel	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Hildebrand.pdf		Student Research Workshop
The Value of Machine Translation for the Professional Translator	Elina Lagoudaki	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Lagoudaki.pdf		Student Research Workshop
Diacritization as a Machine Translation and as a Sequence Labeling Problem	Tim Schlippe and ThuyLinh Nguyen and Stephan Vogel	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Schlippe.pdf		Student Research Workshop
Multi-Source Translation Methods	Lane Schwartz	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Schwartz.pdf		Student Research Workshop
