Title	Authors	Pdf	Presentation	Pages	Volume_Name	Notes
A Gentle Introduction to Ontologies	Eduard Hovy	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Hovy.pdf			Tutorials 	Tutorials 
Tools and Techniques for Translatable Content	Mike Dillinger	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Dillinger.pdf			Tutorials 	Tutorials 
Arabic Dialect Processing	Mona Diab and Nizar Habash	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Diab.pdf			Tutorials 	Tutorials 
An Overview of Statistical Machine Translation	David Smith and Charles Schafer	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Smith.pdf			Tutorials 	Tutorials 
Name Translation	Keith Miller and Sherri Condon	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Condon.pdf			Tutorials 	Tutorials 
