Title	Authors	Pdf	Presentation	Notes
Real Voices: What translators do and why we need to keep doing it	Nicholas Hartmann	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Hartmann.pdf		Keynote Presentations
What in the World is Everybody Talking about?	Paul Bremer			Keynote Presentations
Ten Years of MT: A Commercial Case Study	Mark Lancaster			Keynote Presentations
