Title	Authors	Pdf	Presentation	Notes
Introduction to Post-Editing: Who, What, How and Where to Next?	Sharon O'Brien	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-OBrien.pdf		Tutorials
An Introduction to Machine Translation	Mike Dillinger	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Dillinger.pdf		Tutorials
MT Postediting Showcase	Laurie Gerber and Elliott Macklovitch	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Postediting.pdf		Tutorials
Evaluating the Output of Machine Translation Systems	Alon Lavie	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Lavie.pdf		Tutorials
Machine Translation with Open source Software	Philipp Koehn and Hieu Hoang	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Koehn-2.pdf		Tutorials
