Title	Authors	Pdf	Presentation	Volume_Name
Integrating online and active learning in a computer-assisted translation workbench	Vicent Alabau and Jesús González-Rubio and Daniel Ortiz-Martínez and Germán Sanchis-Trilles and Francisco Casacuberta and Mercedes García-Martínez and Bartolomé Mesa-Lao and Petersen, Dan Cheung and Barbara Dragsted and Michael Carl	https://aclanthology.org/www.mt-archive.info/10/AMTA-2014-W1-Alabau.pdf		Workshop
Towards a combination of online and multitask learning for MT quality estimation: a preliminary study	de Souza, José G.C. and Marco Turchi and Matteo Negri	https://aclanthology.org/www.mt-archive.info/10/AMTA-2014-W1-deSouza.pdf		Workshop
Dynamic phrase tables for machine translation in an interactive post-editing scenario	Ulrich Germann	https://aclanthology.org/www.mt-archive.info/10/AMTA-2014-W1-Germann.pdf		Workshop
Optimized MT online learning in computer assisted translation	Prashant Mathur and Mauro Cettolo	https://aclanthology.org/www.mt-archive.info/10/AMTA-2014-W1-Mathur.pdf		Workshop
Behind the scenes in an interactive speech translation system	Mark Seligman and Mike Dillinger	https://aclanthology.org/www.mt-archive.info/10/AMTA-2014-W1-Seligman.pdf		Workshop
Predicting post-editor profiles from the translation process	Karan Singla and David Orrego-Carmona and Gonzales, Ashleigh Rhea and Michael Carl and Srinivas Bangalore	https://aclanthology.org/www.mt-archive.info/10/AMTA-2014-W1-Singla.pdf		Workshop
