Title	Authors	Pdf	Presentation	Notes
Frontmatter		https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Desilets.pdf		
Crowdsourced translation for emergency response in Haiti: the global collaboration of local knowledge	Robert Munro	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Munro.pdf		Collaborative Translation: technology, crowdsourcing, and the translator perspective
Crowdsourcing and the Professional Translator	Jost Zetzsche	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Zetzsche.pdf		Collaborative Translation: technology, crowdsourcing, and the translator perspective
Position Paper: Improving Translation via Targeted Paraphrasing	Yakov Kronrod and Philip Resnik and Olivia Buzek and Chang Hu and Alex Quinn and Ben Bederson	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Kronrod.pdf		Collaborative Translation: technology, crowdsourcing, and the translator perspective
WikiBABEL: A System for Multilingual Wikipedia Content	A. Kumaran and Naren Datha and B. Ashok and K. Saravanan and Anil Ande and Ashwani Sharma and Sridhar Vedantham and Vidya Natampally and Vikram Dendi and Sandor Maurice	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Kumaran.pdf		Collaborative Translation: technology, crowdsourcing, and the translator perspective
