Title	Authors	Pdf	Presentation	Volume_Name
Handling entities in MT/CAT/HLT	Keith Miller and Linda Moreau and Sherri Condon		http://www.mt-archive.info/10/AMTA-2014-Miller.pdf	Tutorials
Interaction design for MT interfaces	Patricia O’Neill-Brown		http://www.mt-archive.info/10/AMTA-2014-ONeill-Brown.pdf	Tutorials
MateCat: an open source CAT tool for MT post-editing	Marcello Federico and Nicola Bertoldi and Marco Trombetti and Alessandro Cattelan 		http://www.mt-archive.info/10/AMTA-2014-Federico.pdf	Tutorials
Working with MateCat: user manual and installation guide	Marcello Federico and Nicola Bertoldi and Marco Trombetti and Alessandro Cattelan		http://www.mt-archive.info/10/AMTA-2014-MateCat.pdf	Tutorials
Statistical machine translation with the Moses toolkit	Hieu Hoang and Matthias Huck and Philipp Koehn 		http://www.mt-archive.info/10/AMTA-2014-Hoang.pdf	Tutorials
